id,emp_id,year,cl_limit,ml_limit,od_limit,comp_limit,lop_limit,created_at,updated_at,from_month,to_month,permission_limit
7162,960,2025,12,12,10,6,30,2026-03-22 02:23:58.587848,2026-03-22 04:31:35.390526,2025-03,2026-03,2
7163,1090,2025,12,12,10,6,30,2026-03-22 02:23:58.599411,2026-03-22 04:31:35.985668,2025-03,2026-03,2
7164,1181,2025,12,12,10,6,30,2026-03-22 02:23:58.611146,2026-03-22 04:41:08.092263,2025-06,2026-06,2
7166,1103,2025,12,12,10,6,30,2026-03-22 02:23:58.789111,2026-03-22 04:31:35.992633,2025-03,2026-03,2
7167,1132,2025,12,12,10,6,30,2026-03-22 02:23:58.789354,2026-03-22 04:31:35.590974,2025-03,2026-03,2
7168,913,2025,12,12,10,6,30,2026-03-22 02:23:58.791523,2026-03-22 04:41:08.191119,2025-06,2026-06,2
7169,409,2025,12,12,10,6,30,2026-03-22 02:23:58.791627,2026-03-22 04:41:08.09482,2025-06,2026-06,2
7170,242,2025,12,12,10,6,30,2026-03-22 02:23:58.792673,2026-03-22 04:41:08.395392,2025-06,2026-06,2
7171,1130,2025,12,12,10,6,30,2026-03-22 02:23:58.793054,2026-03-22 04:41:08.39305,2025-06,2026-06,2
7172,317,2025,12,12,10,6,30,2026-03-22 02:23:58.793823,2026-03-22 04:41:08.093024,2025-06,2026-06,2
7173,158,2025,12,12,10,6,30,2026-03-22 02:23:58.893865,2026-03-22 04:31:35.995285,2025-03,2026-03,2
7174,919,2025,12,12,10,6,30,2026-03-22 02:23:58.894238,2026-03-22 04:41:07.291397,2025-06,2026-06,2
7175,1083,2025,12,12,10,6,30,2026-03-22 02:23:58.89709,2026-03-22 04:41:08.595701,2025-06,2026-06,2
7177,1091,2025,12,12,10,6,30,2026-03-22 02:23:58.986684,2026-03-22 04:41:08.594046,2025-06,2026-06,2
7178,817,2025,12,12,10,6,30,2026-03-22 02:23:58.989977,2026-03-22 04:41:08.295125,2025-06,2026-06,2
7179,1128,2025,12,12,10,6,30,2026-03-22 02:23:58.990081,2026-03-22 04:41:08.394831,2025-06,2026-06,2
7180,1148,2025,12,12,10,6,30,2026-03-22 02:23:58.992366,2026-03-22 04:41:08.597412,2025-06,2026-06,2
7181,1191,2025,12,12,10,6,30,2026-03-22 02:23:58.992976,2026-03-22 04:41:07.487658,2025-06,2026-06,2
7182,930,2025,12,12,10,6,30,2026-03-22 02:23:58.994785,2026-03-22 04:31:35.492555,2025-03,2026-03,2
7272,5001,2027,12,12,10,6,30,2026-03-22 02:24:40.11353,2026-03-22 02:24:40.11353,,,2
7273,916,2027,12,12,10,6,30,2026-03-22 02:24:40.182207,2026-03-22 02:24:40.182207,,,2
7274,1101,2027,12,12,10,6,30,2026-03-22 02:24:40.246851,2026-03-22 02:24:40.246851,,,2
